id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-001	Ia imedu uwogure.	Um homem foi pescar.			ia imedy u=wogu-re	um homem 3.SG=pesca-IND	
BOR-CORBO-OIE-002	Nowu imedu iere Meriri Baru (Paiwedu).	O homem chamava-se Meriri Baru (do clã dos bugios).					
BOR-CORBO-OIE-003	Icare karore togwa to ji.	Aí o peixe mordeu a isca.					
BOR-CORBO-OIE-004	Ure tumugudo keje... akore: - Inoba  boemode? M... tui tumugudo keje.	(O homem) puxou, dizendo: “Como  será”, enquando puxava.					
BOR-CORBO-OIE-005	Akore: ‘M!....	Puxou com força.					
BOR-CORBO-OIE-006	Icare nowu karo kugudugodure.	Aí o peixe ficou cansado. (ficou mole)					
BOR-CORBO-OIE-007	Icare ure to urubaru to. Ure tumugudo keje pobo piji, boe ao kae.	Aí o puxou para cima. O puxou da água para cima (do barranco).					
BOR-CORBO-OIE-008	Icare karo akogodure, akore - ‘M .... ‘M ... ‘ M... , tubadui.	Então o peixe começou a falar, dizendo: - ‘M ... ‘M ... ‘ M..., deitado por terra.					
BOR-CORBO-OIE-009	Icare nowu imedure ipo to aoraji po po po! Icare ure bito tu.	Aí o homem bateu com um pau na cabeça dele e o matou.					
BOR-CORBO-OIE-010	Ure taiwodo kodudu bogai, jordure nonogo ikaji, akore: - Awu rugadu! Awu iwoi pemegare.	Procurou embira, viu um pé de urucum e disse: Este mesmo!  A casca deste é boa.					
BOR-CORBO-OIE-011	Icare ure iwoi tawuje, ure tugera pemegado ji, ure iado, icare ure tugu kojato, icare ure udo turugadu.	Aí ele tirou a casca, a arrumou e, acabando, enfiou-a na guelra do peixe e o deixou pronto.					
BOR-CORBO-OIE-012	Dykeje ure tugera bu bai kajeje, ure udo pobe ma awu metuia bokware.	Depois cortou com a mão algumas palhas, cortou três.					
BOR-CORBO-OIE-013	Icare ure tudugu nowu karoji, ure bu mato tuboru keje, nowu bai kujiagi, icare ure nowu riwudu jeto taobiriji, icare uture apo.	Depois levantou o peixe e o pôs nas costas, por cima das palhas, pôs a embira na cabeça e foi embora com ele.					
BOR-CORBO-OIE-014	Kodure apo jii je, aregodure apo bato.	Foi com ele até chegar na aldeia.					
BOR-CORBO-OIE-015	Akore: - Itore kugure, tagogwage pemegado, ire karo  bito, inure ikedu amado ji.	(Depois) disse: - Meus filhinhos, comam bem, eu matei peixe, e é grande.					
BOR-CORBO-OIE-016	Ore kugure egore: - He ‘e! He’e! He’e! Page karo rogu, page karo rogu!	Os filhos pequenos disseram: - He ‘e! He’e! He’e! Nosso peixinho! Nosso peixinho!					
BOR-CORBO-OIE-017	Icare ure kagirido tu... Ure iado, icare akore: - Kodoro! Pawo kogudo!	Aí ele cortou o peixe... e quando acabou disse: - (Tragam) palha! Vamos amarrá-lo.					
BOR-CORBO-OIE-018	Icare ure kodu jamedu kogudo. Icare ure iado, ure akedudo.	Depois ele amarrou a carne, até acabar.					
BOR-CORBO-OIE-019	Du keje icare ure jorugo. Ure pobo tugu ariato, ure mugudo joru tada, icare ure nowu kodu tugu to.	Em seguida acendeu o fogo, despejou água na panela, a colocou no fogo e pôs nela a carne.					
