id	witness_a	witness_b	reviewed	portuguese	similarity	provisional_class	difference_summary
BOR-CORBO-HM001-u001	PEMO e BRAEDUGUME	Pemo, oinore Pao iere boe oto ji.		Pemo, oinore Pao iere boe otoji.	0.160	substantive-or-segmentation	replace: [PEMO e BRAEDUGUME] -> [Pemo, oinore Pao iere boe oto ji.]
BOR-CORBO-HM001-u002	Pemo koiare icare ure Pemo metuia iegi. Mare ia pagaboe karega. Nowu Pemo onaregedu. Tonaregedure ure jeto boei pugeje. Mare nowu onaregedu botukare aredu piji. Koia karega ure towuje jamedu.	Pemo koiare icare ure Pemo metyia iegi. Mare ia pagaboe karega. Nowy Pemo onaregedu. Tonaregedure ure jeto boei pugeje. Mare nowy onaregedy botukare aredy piji. Koia karega ure towyje jamedu.	Pemo koiare icare ure Pemo metuia iegi. Mare ia pagaboe karega. Nowu Pemo onaregedu. Tonaregedure ure jeto boei pugeje. Mare nowu onaregedu botukare aredu piji. Koia karega ure towuje jamedu.	"Foi Pemo que chamou o outro Pemo. Mas ele não era qualquer um. Era o filho de Pemo. Foi ao seu filho que ele colocou para tomar conta da gente.
Mas esse seu filho não nasceu de mulher, e também não foi ele quem o fez.."	0.969	orthographic/editorial	replace: [metuia] -> [metyia] | replace: [Nowu] -> [Nowy] | replace: [nowu onaregedu] -> [nowy onaregedy] | replace: [aredu] -> [aredy] | replace: [towuje] -> [towyje]
BOR-CORBO-HM001-u003	Ure boecodudo. Nowu Pemore boecodudo. Dutabo re icare makore nowu tonaregedu bogai baito. Bai tadare ure tuguwo.	Ure boecodydo. Nowy Pemore boecodydo. Dytabore icare makore nowy tonaregedy bogai baito. Bai tadare ure tuguwo.	Ure boecodudo. Nowu Pemore boecodudo. Dutabo re icare makore nowu tonaregedu bogai baito. Bai tadare ure tuguwo.	Ele fez a noite. Foi Pemo quem fez a noite. Aí ele chamou seu filho dentro do baito (casa central). Foi no baito que ele apareceu.	0.942	orthographic/editorial	replace: [boecodudo. Nowu] -> [boecodydo. Nowy] | replace: [boecodudo. Dutabo re] -> [boecodydo. Dytabore] | replace: [nowu tonaregedu] -> [nowy tonaregedy]
BOR-CORBO-HM001-u004	Makore tonaregedu bogai nowu baito, akore Imedu! Dukeje icare ure iegi. Akore Imedu Baraedugume! Makore pugeje. Akore Imedu Baraedugume!	Makore tonaregedy bogai nowy baito, akore: Imedy! Dykeje icare ure iegi. Akore: Imedy Baraedugume! Makore pugeje. Akore: Imedy Baraedugume!	Makore tonaregedu bogai nowu baito, akore Imedu! Dukeje icare ure iegi. Akore Imedu Baraedugume! Makore pugeje. Akore Imedu Baraedugume!	"Chamou seu filho lá dentro do baito, dizendo: - Meu filho!
Aí ele lhe deu nome dizendo: - Meu filho Baraedugume!
Chamou de novo dizendo: - Meu filho Baraedugume!"	0.945	orthographic/editorial	replace: [tonaregedu] -> [tonaregedy] | replace: [nowu] -> [nowy] | replace: [akore Imedu! Dukeje] -> [akore: Imedy! Dykeje] | replace: [Akore Imedu] -> [Akore: Imedy] | replace: [Akore Imedu] -> [Akore: Imedy]
BOR-CORBO-HM001-u005	Dukeje icare kudugodure, akore Kao!	Dykeje icare kudugodyre, akore: Kao!	Dukeje icare kudugodure, akore Kao!	Então ele respondeu gritando: - Kao!	0.930	orthographic/editorial	replace: [Dukeje] -> [Dykeje] | replace: [kudugodure, akore] -> [kudugodyre, akore:]
BOR-CORBO-HM001-u006	Akore Aebu mato, awo akowarudo, aeruduwo joruji, aeruduwo barogwa kododuji; awo akera kabi, awo ae kabi, awo aia kabi, awo awu re kabi; awo ape kujagu barigu, awo akiguru kujagu barigu; amearudu awaduwo ai!	Akore: Aebu mato, awo akowarudo, aerydywo joru ji, aerydywo barogwa kododu ji; awo akera kabi, awo ae kabi, awo aia kabi, awo awy re kabi; awo ape kujagu barigu, awo akiguru kujagu barigu; amearudu awaduwo ai!	Akore: Aebu mato, awo akowarudo, aerydywo joru ji, aeruduwo barogwa kododu ji; awo akera kabi, awo ae kabi, awo aia kabi, awo aww re kabi; awo ape kujagu barigu, awo akiguru kujagu barigu; amearudu awaduwo ai!	Ele disse: Saia para cá, para se esquentares, para ver o dia, para contemplar o amanhecer; para lavar as mãos, para lavar a boca, para lavar os pés; para fazer as suas necessidades, para ficar esperto.	0.810	substantive-or-segmentation	replace: [Akore] -> [Akore:] | replace: [aeruduwo joruji, aeruduwo] -> [aerydywo joru ji, aerydywo] | replace: [kododuji;] -> [kododu ji;] | replace: [awu] -> [awy]
BOR-CORBO-HM001-u007	Akore U! (icare makore ).	Akore: U! (icare makore ).	Akore Uu! (icare makore ).	Ele respondeu: - Sim! (Ele já estava falando)	0.980	near-identical	replace: [Akore] -> [Akore:]
BOR-CORBO-HM001-u008	Icare ure boecodudo pugeje. Icare barogwa kododudo, dutabore icare nowu onaregedu makore tumedage ewogai pugeje, akore João! Makore pugeje, akore João! Kudugodure, akore Kao!	Icare ure boecodydo pugeje. Icare barogwa kododydo, dytabore icare nowy onaregedy makore tumedage ewogai pugeje, akore: João! Makore pugeje, akore: João! Kudugodyre, akore: Kao!	Icare ure boecodudo pugeje. Icare barogwa kododudo, dutabore icare nowu onaregedu makore tumedage ewogai pugeje, akore João! Makore pugeje, akore João! Kudugodure, akore Kao!	"Depois ele fez de novo anoitecer e quando fez de novo amanhecer, o Filho dele chamou os seus colegas dizendo: - João!
Camou de novo dizendo: - João!
Ele respondeu gritando: - Kao!"	0.957	orthographic/editorial	replace: [boecodudo] -> [boecodydo] | replace: [kododudo, dutabore] -> [kododydo, dytabore] | replace: [nowu onaregedu] -> [nowy onaregedy] | replace: [akore] -> [akore:] | replace: [akore] -> [akore:] | replace: [Kudugodure, akore] -> [Kudugodyre, akore:]
BOR-CORBO-HM001-u009	Akore Aebu! Awo akowarudo, aeruduwo joruji, awo akera kabi, awo ae kabi. Akore Awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai.	Akore: Aebu! Awo akowarudo, aerydywo joru ji, awo akera kabi, awo ae kabi. Akore: Awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai.	Akore Aebu! Awo akowarudo, aeruduwo joru ji, awo akera kabi, awo ae kabi. Akore Awo ape kujagu barigu, awo akiguru kujagu barigu, amearudu awaduwo ai.	Desse: - Saia! Para se esquentar, para ver o fogo, para lavar as mãos e o rosto, para fazer as sus necessidades, para ficar esperto.	0.977	near-identical	replace: [Akore] -> [Akore:] | replace: [aeruduwo joruji,] -> [aerydywo joru ji,] | replace: [Akore] -> [Akore:]
BOR-CORBO-HM001-u010	Icare ure boecodudo pugeje. Icare ure barogwa kododudo pugeje. Icare nowu onaregedu makore pugeje. Akore Mané! Akore Mané! Dukeje icare kudugodure, akore Kao! Akore Aebu mato! awo akowarudo, aeruduwo joruji, awo akera kabi, awo aia kabi, awo awu re kabi, amearudu awaduwo ai!	Icare ure boecodydo pugeje. Icare ure barogwa kododydo pugeje. Icare nowy onaregedy makore pugeje. Akore: Mané! Akore: Mané! Dykeje icare kudugodyre, akore: Kao! Akore: Aebu mato! awo akowarudo, aerydywo joru ji, awo akera kabi, awo aia kabi, awo awy re kabi, amearudu awaduwo ai!	Icare ure boecodudo pugeje. Icare ure barogwa kododudo pugeje. Icare nowu onaregedu makore pugeje. Akore Mané! Akore Mané! Dukeje icare kudugodure, akore Kao! Akore Aebu mato! Awo akowarudo, aeruduwo joru ji, awo akera kabi, awo aia kabi, awo awu re kabi, amearudu awaduwo ai!	"Depois fez anoitecer de novo, e fez amanhecer de novo. Aí o filho dele chamou também, dizendo: - Manoel! Ð Manoel!
Este respondeu gritando: - Kao!
Ele disse: - Saia para cá! Para se esquentar, para ver o fogo, para lavar as mãos, para lavar a boca, para lavar os pés, para ficar esperto."	0.656	substantive-or-segmentation	replace: [boecodudo] -> [boecodydo] | replace: [kododudo] -> [kododydo] | replace: [nowu onaregedu] -> [nowy onaregedy] | replace: [Akore] -> [Akore:] | replace: [Akore] -> [Akore:] | replace: [Dukeje] -> [Dykeje] | replace: [kudugodure, akore] -> [kudugodyre, akore:] | replace: [Akore] -> [Akore:]
