id	source	reviewed	portuguese	source_sent_id
BOR-CORBO-ADU-0001	Boere adugo bito .		Os Bororo matam a onça pintada.	ritual-onca-1-01
BOR-CORBO-ADU-0002	Boere adugo bito Aroia Kurirewu mori ce .		Os Bororo matam a onça pintada para pagamento de Aroia Kurirewu .	ritual-onca-1-01
BOR-CORBO-ADU-0003	Boe egore cewu ceraedure roino ji , cewu Baadojebare roino ji , Aroia Kurirewu mori cere roino ji , Tadugio mori cere roino ji , Jakomea Kurirewu mori cere roino ji .	Boe egore cewu ceraedure roino ji , cewu Baadojebare roino ji , Aroia Kurirewu mori cere ro oino ji , Tadugio mori cere roino ji , Jakomea Kurirewu mori cere roino ji .	Os Bororo dizem: Foi aquele Ceraedo que fez isso com ela. Foi o Baadojeba que a matou. Para pagamento de Aroia Kurireu, para pagamento de Tadugo, para pagamento de Jakomea Kurireu.	ritual-onca-1-02
BOR-CORBO-ADU-0004	Uu , kodire Boe eragodumode , Boe eragodumode apo , tado tarugadu , taragodumode !	Uu , kodire Boe eragodumode , Boe eragodumode apo , tado tarugadu , taragodumode !	Sim! Por isso os Bororo vão cantar. Os Bororo vão cantar com ela. Preparem-se! Vocês vão cantar.	AdugoBiri-1.3
BOR-CORBO-ADU-0005	Ukudawu remawure uwadodure , akore tado tarugadu , tagogududo itabo , taiagududo itabo , aragoduwo ikudawu apo , ikuie adugo apo , imori adugo apo .	Ukudawu remawure uwadodure , akore tado tarugadu , tagogududo itabo , taiagududo itabo , aragoduwo ikudawu apo , ikuie adugo apo , imori adugo apo .	O dono do couro (o que recebe o couro da onça) anuncia, diz: Fiquem preparados! Tenham dó de mim, tenham pena de mim! Para vocês cantarem com o meu tapete, com o meu colar de dente de onça pintada, com o meu pagamento, a onça pintada.	AdugoBiri-1.4
BOR-CORBO-ADU-0006	Marenarunure imi , kiogo barogonure imi , kodire inago oino tagabo .	Marenarunure imi , kiogo barogonure imi , kodire inago oino tagabo .	Eu sou pobre, eu sou um coitado (um passarinho). Por isso que estou avisando vocês.	AdugoBiri-1.5
BOR-CORBO-ADU-0007	Itamagadure tagabo , kodire taragodumode ikudawu adugo joki inai .	Itamagadure tagabo , kodire taragodumode ikudawu adugo joki inai .	Eu me preocupo com vocês. Por isso que vocês vão cantar para mim sobre o meu couro de onça pintada.	AdugoBiri-1.6
BOR-CORBO-ADU-0008	Care ikudawu bitodure , care imori bitodure , bitodu bokwamodukare ikudawu ce , okwadodu bokwamodukare ikudawu ce .	Care ikudawu bitodure , care imori bitodure , bitodu bokwamodukare ikudawu ce , okwadodu bokwamodukare ikudawu ce .	Então o animal do couro bonito para mim foi morto, a minha recompensa foi feita. Não podia deixar de ser morto para mim, não podia deixar de morrer para mim.	AdugoBiri-1.7
BOR-CORBO-ADU-0009	Maereboe , bope tuiorudu tabore ro oino , ako oino , batarure oino .	Maereboe , bope tuiorudu tabore ro oino , ako oino , batarure oino .	O espírito ruim com sua esperteza fez isso, dizendo e falando.	AdugoBiri-1.8
BOR-CORBO-ADU-0010	Ure iwobe etagedudo , ure iedagamage , imanamage , ure etagedudo , kodire bokwamodukare adugo maku , aigo maku , aipoburewu maku , ikudawu ce , imori ce .	Ure iwobe etagedudo , ure iedagamage , imanamage , ure etagedudo , kodire bokwamodukare adugo maku , aigo maku , aipoburewu maku , ikudawu ce , imori ce .	Ele acabou com o meu povo, ele acabou com os meus padrinhos e com os meus irmãos mais velhos. Por isso ele não vai deixar de entregar a onça pintada, a onça parda, a jaguatirica, para ser o meu couro, como recompensa.	AdugoBiri-1.9
BOR-CORBO-ADU-0011	Oinore Boe egore !	Oinore Boe egore !	É assim que os Bororo falam.	AdugoBiri-1.10
BOR-CORBO-ADU-0012	Ca , urugadu jao !	Ca , urugadu jao !	Eis, basta por agora.	AdugoBiri-1.11
BOR-CORBO-ADU-0013	Ure Boere adugo bito toro boe tada , itura tada , toro tori tada icare boere tudo pui ae .	Ure Boere adugo bito toro boe tada , itura tada , toro tori tada icare boere tudo pui ae .	Quando os Bororo matam a onça pintada lá no mato, na floresta, lá na serra, então eles se reúnem no rumo dela.	AdugoBiri-2.1
BOR-CORBO-ADU-0014	Ure icare ure bitowu ure bureagurudo ukudawu remawu ji , toro boe tada .	Ure icare ure bitowu ure bureagurudo ukudawu remawu ji , toro boe tada .	Então aquele que a matou corre ao redor do dono do couro, lá no mato.	AdugoBiri-2.2
BOR-CORBO-ADU-0015	Ure uu , ure batarudo toro taci , ure batarudodu akedudo dukeje icare ure ipo maku , ure ipo maku tu umode ipo to jiwu ai .	Ure uu , ure batarudo toro taci , ure batarudodu akedudo dukeje icare ure ipo maku , ure ipo maku tu umode ipo to jiwu ai .	Sim! Ele faz a proclamação e, quando termina a fala, entrega o pau para aquele que vai bater na onça morta.	AdugoBiri-2.3
BOR-CORBO-ADU-0016	Ure Cibae Etawadu epa koiare umode ipo to ji , adugo ji , adugo imedu ji .	Ure Cibae Etawadu epa koiare umode ipo to ji , adugo ji , adugo imedu ji .	É o cantor de Cibae Etawado quem vai bater com o pau nela, na onça pintada, na onça pintada macho.	AdugoBiri-2.4
BOR-CORBO-ADU-0017	Ure ca , woere icare akore m , adugo imedu bukejewu reo , adugo imedu , Bakororo tugomagaia .	Ure ca , woere icare akore m , adugo imedu bukejewu reo , adugo imedu , Bakororo tugomagaia .	Eis aqui, então, ele diz: M! Este é o canto sobre a onça pintada macho. A onça pintada macho, Espírito Tugomagaia.	AdugoBiri-2.5
