id	section	title	speaker	translator	source_number	translation_number	source	reviewed	portuguese	editorial_note
BOR-CORBO-BOE-01-001	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	01	01	Oinore boe egore tore kugurei. Boe erore tore kugurei.		É desse jeito que os bororo falam com seus filhinhos, fazem com seus filhinhos.	
BOR-CORBO-BOE-01-002	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	02	02	Boe etonaregedu buture, boe etonaregedu imedurogu buture.		Quando seu filho nasce, seu filho menino nasce.	
BOR-CORBO-BOE-01-003	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	03	03	Icare boere iedo, boere tonaregedu imedurogu iedo.		Então eles lhe dão o nome eles dão o nome para seu filhinho.	
BOR-CORBO-BOE-01-004	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	04	04	Icare boere. Imedu rema, boere okwa porodo, boe eragodure ie paruji, okwa paruji jii tu Ca, boere iedo taci, icare ie akedure, icare boere rogu bu.		O tempo foi passando e ele se tornou um homem, os bororo furam-lhe o beiço e cantam por um bom tempo o canto para dar o nome ou para furação do beiço. Logo dão o nome e quando termina, o  deitam.	
BOR-CORBO-BOE-01-005	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	05	05	Icare merure, merugodure, batarugodure.		Quando ainda é criança vai crescendo, crescendo e então ele anda, começa a andar e a falar bem.	
BOR-CORBO-BOE-01-006	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	06	06	Icare akore: “Ioga”, oino. Akore: “Imuga”, oino. Akore: “Aja”, oino. Akore: “Mama”, oino. Akore: “Ikê boiri”.		Então ele diz: “Papai”. Diz: “Mamãe”. Diz: “Quero papinha”. E diz: “Estou com fome”.	
BOR-CORBO-BOE-01-007	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	07	07	Ica, icare makore, icare batarure. Boe egore: “Ica, care batarure”, oino.		Então ele já fala, conversa. E os bororo dizem: “Então agora ele conversa”.	
BOR-CORBO-BOE-01-008	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	08	08	Ica care merure, care jorduwagodure.		Então ele anda e começa a entender bem.	
BOR-CORBO-BOE-01-009	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	09	09	Dukeje icare boe emagore ji, boere pagududo, boe egore: “Atu kaba toro”. Oino boe egore.		Daí então os bororo falam com ele. Eles o assustam. Os bororo falam: “Não vá lá”. É assim que falam: “É de bicho que os bororo têm medo”.	
BOR-CORBO-BOE-01-010	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	10	10	Kugure boe epagudae rema. Boe egore: “Kugu”, oino. Egore: “Atu kaba toro”, oino. Boe egore: “Adugo”, oino.		Os bororo dizem: “Olha lá o curujão!”. Eles falam: “Não vá lá”. Eles falam: “Olha lá a onça”.	
BOR-CORBO-BOE-01-011	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	11	11	Bari, boe etore epagudure barice, boere tonaregedu pagududo barice.		Pajé, é do pajé que as crianças dos bororo têm medo. Os bororo assustam suas crianças com o pajé.	
BOR-CORBO-BOE-01-012	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	12	12	Boe egore: “Atu kaba toro, nowu bari kodo mato, barimode awia porodo, barimode awaga kado”. Oinore boe egore tonaregeduji.		Eles falam: “Não vá lá, o pajé vem aí, o pajé vai furar-lhe a orelha, o pajé vai lhe capar”. É assim que os bororo falam com seus filhos.	
BOR-CORBO-BOE-01-013	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	13	13	Boe enure tonaregedu pagududo. Boe enure tonaregedu buredo. Boe eure kirimi.		Os bororo assustam seus filhos, brecam os filhos, não deixam os filhos soltos.	
BOR-CORBO-BOE-01-014	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	14	14	Boe egore: “Atu kaba toro”. Oino boe egore: “Aro kaba oino”. Boe egore: “Rie”, oino. Boe egore: “Kugu”, oino. Boe egore: “Umode toedo ai”, oino. Boe egore: “Umode tododo ai”. Oino boe egore.		Os bororo falam: “Não vá lá”. Os bororo falam: “Não faça isso”. Os bororo falam: “Olha lá o lobo”. Os bororo falam: “Olha lá o bicho”. Os bororo falam: “Ele vai te morder”. Os bororo falam: “Ele vai te bicar”.	
BOR-CORBO-BOE-01-015	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	15	15	Bari, boe egore: “Barimode awia porodo”, oino. “Barimode awaga kado”, oino.		Pajé, os bororo falam: “O pajé vai furar-lhe a orelha, o pajé vai lhe capar.”	
BOR-CORBO-BOE-01-016	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	16	16	Kodire boe etonaregedu pagudure, boe etonaregedu mearutorure, boe etonaregedu pagudure.		Por isso que os filhos têm medo, os filhos dos bororo são obedientes, os filhos dos bororo têm vergonha.	
BOR-CORBO-BOE-01-017	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	17	17	Tudumode jice ia boe ewai kae duji, tumode turemo ia boe ewai to duji. Boe ekare tonaregedu rokowo.		Quando ele vai até a casa de alguém, se por acaso ele entrar na casa de alguém, os bororo não deixam os filhos fazerem o que querem na casa dos outros.	
BOR-CORBO-BOE-01-018	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	18	18	Egore: “Aro kaba aino”. Oino, boe egore: “Mato”. Oino, boe egore tonaregedu imeduji guu, guu, guu...		Eles falam: “Não faça isso”. Os bororo falam: “Vem cá”. Os bororo falam muito com seus filhos.	
BOR-CORBO-BOE-01-019	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	19	19	Care boe etonaregedu padure boe ebo tu, tu, ba tada.		Então o menino tornado homem começa a dormir com os outros homens na casa central, baito.	
BOR-CORBO-BOE-01-020	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	20	20	Oinore boe erore tu, tu, tu, je.Care o bare, icare boere o bado. Ica dukeje icare padukare tuwobe ebo pugeje.		É assim que os bororo sempre fazem. Então depois de estar preparado ele entra na iniciação do homem, então os bororo dão iniciação a ele, aí então ele não dorme mais com seus parentes.	
BOR-CORBO-BOE-01-021	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	21	21	Nonore icare utu nure boe epiji. Boe etonaregedu imedu utu nure boe epiji. Dure icare o bare, icare jordure aijeji, icare padure bai tada, icare boere o bado; ica, dukeje icare padukare tuwobe ebo pugeje, nonore icare utu nure boe epiji. Boe etonaregedu imedu utunure boe epiji. Dure icare o bare, icare jordure aijeji, icare padure bai tada, icare padure bai tada, icare unudure bai tada, icare jordure aroei. Jordure aijeji.		Aí então ele está deixando de ser uma pessoa dependente dos parentes, tendo entrado na iniciação, ele já conhece aije, já dorme no baito, já viu as almas.	
BOR-CORBO-BOE-01-022	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	22	22	Icare merure boe ebo, icare ure karo bito, ure barogo bito tudugo remawu tabo gu, gu...		Então já caça com os homens, então ele já mata peixe, ele já mata bicho até mesmo com suas próprias flechas.	
BOR-CORBO-BOE-01-023	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	23	23	Oino iparedu nure ema; iparedu, oinore boe egore, iparedu, iparedure ema gu, gu, gu...		Agora ele já é rapaz. Os bororo o tratam mesmo de rapaz.	
BOR-CORBO-BOE-01-024	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	24	24	Icare ure karo bito, ure barogo bito.		Então ele mata peixe, mata bicho, então ele já é homem.	
BOR-CORBO-BOE-01-025	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	25	25	Icare imedure ema, dukeje icare uwirere, ia aredure tumagu ai rugadu.		Aí então ele casa, uma mulher casa com ele.	
BOR-CORBO-BOE-01-026	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	26	26	Toro boe jaowuge, imedu karega ure tuwiredo, aredure ure tumagu imedu ai, iparedu ai.		Antigamente não eram os homens que procuravam para casar, eram as mulheres que se entregavam para o homem, para o rapaz.	
BOR-CORBO-BOE-01-027	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	27	27	Tuge boi koia, uwo karo bito tugeje.		De fome para que ele matasse peixe e bicho para ela comer.	
BOR-CORBO-BOE-01-028	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	28	28	Ica; icare imedu aregodure pudae, icare uwirere; icare onaregedure, icare ore kugurere.		Então ele começa a ser um homem experiente e se casa, tendo filhos.	
BOR-CORBO-BOE-01-029	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	29	29	Ica, nonore icare imedu nure ema. Nonore icare boe etuore ema. Boe egore: “Ioga”, oino.  Boe egore: “Pao”, oino. Boe egore: “Ioga”, oino.		Então ele já é um homem, já se torna um pai para os bororo. Os bororo lhe chamam de pai.	
BOR-CORBO-BOE-01-030	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	30	30	Boe etuo nure ema gu, gu, gu...		Ele se torna um pai para os bororo.	
BOR-CORBO-BOE-01-031	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	31	31	Ah! Mearduwareu, jorduwareu, mearduware; icare uragodure, mearudure boe ekeroiaji, jorduware boe ekeroiaji, icare uragodure, urare.		Aquele que é inteligente, que sabe e é inteligente então ele canta e sabe cantar mesmo. Ele sabe a linguagem e ele começa a cantar.	
BOR-CORBO-BOE-01-032	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	32	32	Ia mearduwa rakareu boe eimejerare ema, boe eimejerare ema. Boe egore: “Pagimejera”, oino ji. Boe egore: “Boe eimejera”, oinore ji. Boe egore: “Pao”, oino ji.		Aquele que é inteligentíssimo se torna um chefe, os bororo o chamam de nosso chefe, os bororo o chamam de chefe dos bororo, os bororo o chamam de nosso pai.	
BOR-CORBO-BOE-01-033	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	33	33	Boe eimejerare ema, boe eimejerare ema, boe egore: “Pagimejera”, oino ji. Boe egore: “Pagimejera”, oino ji. Boe egore: “Boe eimejera”, oino ji.		Ele é chefe, os bororo falam: “Oh, nosso chefe. Oh, nosso chefe.”	
BOR-CORBO-BOE-01-034	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	34	34	Boe egore: “Pao”, oino ji. Boe egore: “Ioga”, oino ji, gu, gu, gu...		O bororo falam: “Oh, nosso pai”. Os bororo falam: “Oh, meu pai”, por muito tempo...	
BOR-CORBO-BOE-01-035	1	IMEDU RO AKO BOE	Antônio Kanajó	Sandra Aroe Poiwo	35	35	Ica! Care pegagodure, icare pegagodure ,icare boe egore: “Pao pega”, oino ji.		Então ele começa a envelhecer, os bororo o chamam de meu pai.	
