book,chapter,verse,bororo_text,has_unusual_char
Mateus,1,1,"Jesus Cristo, Davi Onaregedu, Abraão onaregedu, jeture otojiwu uwobe ekie epadui bapera kejedu",False
Mateus,1,2,"Abraão ure Isaac towuje. Isaac ure Jacó towuje. Jacó ure Judá towuje, ure Judá umanamage uwiemage etowuje jamedu",False
Mateus,1,3,Judá mare Tamar ere Farés mare Zara etowuje. Farés ure Esron towuje. Esron ure Arão towuje,False
Mateus,1,4,Arão ure Aminadabe towuje. Aminadabe ure Naasson towuje. Naasson ure Salmon towuje,False
Mateus,1,5,Salmon mare Raabe ere Booz towuje. Booz mare Rute ere Obede towuje. Obede ure Jessé towuje. Jessé ure brae eimejera Davi towuje,False
Mateus,1,6,"Uria bokware pijiwu aredu apore, brae eimejera Davi ure Salomão towuje",False
Mateus,1,7,Salomão ure Roboão towuje. Roboão ure Abias towuje. Abias ure Asa towuje,False
Mateus,1,8,Asa ure Josafá towuje. Josafá ure Jorão towuje. Jorão ure Ozias towuje,False
Mateus,1,9,Ozias ure Joatão towuje. Joatão ure Acaz towuje. Acaz ure Ezequias towuje,False
Mateus,1,10,Ezequias ure Manassés towuje. Manassés ure Amon towuje. Amon ure Josias towuje,False
Mateus,1,11,"Josias ure Jeconias towuje, ure umanamage etowuje jamedu, Babilônia rorerui Judeudoge eidu kodiwu keje",False
Mateus,1,12,"Nowu Babilônia rorerui judeudoge eidu kodiwu rekodaji, Jeconias ure Salatiel towuje. Salatiel ure Zorobabel towuje",False
Mateus,1,13,Zorobabel ure Abiude towuje. Abiude ure Eleacim towuje. Eleacim ure Azor towuje,False
Mateus,1,14,Azor ure Sadoc towuje. Sadoc ure Aquim towuje. Aquim ure Eliude towuje,False
Mateus,1,15,Eliude ure Eleazar towuje. Eleazar ure Matam towuje. Matam ure Jacó towuge,False
Mateus,1,16,"Jacó ure José towuje. José mugure Maria apo, dutabore Jesus ure tudowuje ai, dure iere Cristo",False
Mateus,1,17,Dukodire ere pudato pudatodure ikera pudogidure ewudure iwurekoto pobe puibiji Abraão piji jii Davi ae. Jii Davi piji Babilônia rorerurewo kae dure ikera pudogidure ewudure pobe puibiji iwurekoto jii Cristo ae. Jesus buturedu,False
Mateus,1,18,"Ica, Jesus butu kodiwu: Uce Maria mare José ei tuienado puidu, emugumode puapodu otodaire, awu inodure tudowuje Mariaji: Kuiarure Aroe Pemegarewu koia",False
Mateus,1,19,"Nowu mugumode apowu José, imedu jetororewu, aidukare akaru pegawo: icare padure tugajeje tuwo turodo oino piji podu tabo",False
Mateus,1,20,"Meardaere oino kimo, dukejere icare Pao Aroe Eimejera ia o Tupare towadudo ji unuiao tada. Akore: - José, Davi onaregedu, apagudu kaba Maria makuduwo akai akoredujece. Paga karega, kejere Aroe Pemegarewu ure turawuje keje",False
Mateus,1,21,"Ema kuributumode ia tonaregedurogu apo, dure amode iedo Jesusce; emare umode tuwobe einorudo turo pegarewu piji kodi",False
Mateus,1,22,"Nowu inodu jamedu ure tudowuje uwo nono Aroe Eimejera makore profetadogei jiboe reore. 23""Ica, ia virgem kuiarumode, onaregedu butumode, du iemode Emanuel (nowu bataru inodure oino: Aroe Eimejera mugui pagabodu) (Is 7,14",True
Mateus,1,24,"Icare, tuiedadu kejere, José rore nono Tupai turoiagudu reore. Ure tugeragu ji pudae rugadu",False
Mateus,1,25,"Boekarema, emugukai puapo dutabo, Maria onaregedure, dure ure iedo Jesusce",False
Mateus,2,1,"Jesus buture ia Judeia kejewu bakurireu iei Belém cedu keje, brae eimejerai Herodes cedu kodiwu kodi. Dukejere icare magodoge etaregodure meri rutu piji nowu bakurireu iei Jerusalém cedu kae",False
Mateus,2,2,"Enorare: - Kaiba judeudoge eimejera buture? Ceerudure o kuieje kurireuji meri rutu kuda, kodire cedaregodure cewo cebujodo ji",False
